Sentense,Tag
"Из него можно слепить мячик, можно сжимать как пружину, а если попытаться разорвать комок, он будет сопротивляться.",0.0
В природе муравьи таким образом спасаются от наводнений.,0.0
"Собираются в огромный живой плод и две недели путешествуют, пока их не отнесет к безопасному берегу.",0.0
"При этом муравьи даже не задыхаются, ведь между ними всегда есть пузырьки воздуха.",0.0
"Другая способность муравьиного роевого интеллекта — собраться в огромный мост, чтобы толпой, например, забить кого-нибудь большого, типа осиное гнездо, которое по какой-то причине им мешает.",0.0
"Один на один в центре карты, конечно, муравьи проиграют оси, да.",0.0
Но вот колония муравьев завалит и тысячу ос.,0.0
"А когда вы узнаете следующий факт, вы поймете, что колонии ее называют неспроста.",0.0
"Когда европейцы покоряли Америку, они не знали, что по пути домой везут с собой новых пассажиров — аргентинских муравьев.",0.0
"Они почти не встретили конкуренции и расселились сначала в Европе, а затем и по всему миру.",0.0
"Если сегодня взять аргентинского муравья из Японии, Испании и Новой Зеландии, то они узнают друг друга по запаху и не будут воевать.",0.0
Все потому что они — одна мировая суперколония.,0.0
"Эти букашки забивают числом даже муравьев гораздо крупнее себя, а на растениях разводят тлю и мучнистого червя, чтобы питаться их сладенькими выделениями.",0.0
То есть этот вид муравьев занимается скотоводством и буквально перестраивает планету под себя.,0.0
Подробнее об этом мы рассказываем в нашем телеграм-канале.,0.0
"Там же ты найдешь и другие невошедшие факты и сможешь их обсудить с друзьями, с родителями, с кем угодно, с соседями.",0.0
Подписывайтесь.,0.0
"Вот он, пожалуйста, QR-код.",0.0
Это вот это удача — подписаться сегодня на наш канал.,0.0
Наконец-то!,1.0
Жду вас там.,1.0
А это мой личный ТГ.,1.0
Тем более в связи с замедлением Ютуба уведомления о новых роликах легче будет получать оттуда.,1.0
Подписывайтесь.,1.0
"Итак, простые алгоритмы уже сотни миллионов лет позволяют муравьям выживать практически в любых условиях.",1.0
"Вам интересно, что будет, если такая отлаженная система даст сбой?",1.0
Последствия будут нахрен катастрофическими.,1.0
"Допустим, один муравей ошибся и сделал крюк.",0.0
По этому же следу пошел второй и тоже начал кружить.,0.0
"На феромоны и след приходят другие муравьи, и так накапливается порочный круг из ошибок.",0.0
"Это приводит к тому, что тысячи особей сливаются в огромном муравьевороте, пока они умирают от истощения.",0.0
"Если верить запискам натуралиста Уильяма Бибба, который за жизнь обошел весь земной шар, в Гайане он увидел муравьеворот диаметром в 370 метров.",0.0
Это больше стадиона Лужники.,0.0
Подведем итоги.,0.0
Каждый из муравьев абсолютно неимоверно туп.,0.0
"Но когда они собираются в роевой интеллект, например, тысячи муравьев, они могут решать задачи, на которые суперкомпьютеру-человеку нужен, да не хватит даже всего времени на Земле.",0.0
"Но иногда этот роевой интеллект забоит, и тысячи муравьишек",0.0
становятся жертвами великого алгоритма.,1.0
Вот так вот устроена эта маленькая вселенная.,1.0
"Но что если мы сделаем сейчас из муравьев интровертов, следить за мыслью, и оставим их в идеальном жилище, которое они не будут входить вообще из своего жилища, потому что оно будет настолько идеальным, что можно прожить хоть тысячу лет в этом жилище, то получится что?",1.0
"Правильно, термиты.",1.0
"Вы наверняка думаете, что термиты это просто такие крупные муравьи, которые грозут бревна.",1.0
Но на самом деле термиты родственники тараканов.,1.0
"И самое интересное, они творят совсем не в бревнах.",1.0
В африканских и южноамериканских пустынных полях есть целые застройки вот такими термитниками.,1.0
"Да, это не пеньки, а небоскребы из песка, дерева и слюны, каждой высотой до 8 метров.",1.0
Что в этом особенного?,1.0
А вы попробуйте построить себе в пустыне дом из слюны и песка.,1.0
"Днем солнце разогревает песок так, что можно жарить яичницу.",0.0
То есть буквально ставишь сковородку и жаришь.,0.0
Через минуту будет готово.,0.0
"А термиту, чтобы поджариться, нужно и того меньше.",0.0
"Покров у него настолько тонкий, что через него видно внутренности.",0.0
То есть жара должна буквально высушивать термитов.,0.0
"Но за счет роевого интеллекта они поняли, где в пустыне холоднее всего.",0.0
А сейчас поймете и вы.,0.0
Вот 8-метровый термитник.,0.0
"Как думаете, где в нем живут насекомые?",0.0
"Может, тут, тут, или тут?",0.0
Или равномерно по всей площади?,0.0
Ни один из вариантов.,0.0
Они живут в огромной камере под термитником.,0.0
"Это все равно, что всем обитателям Бурдж-Халифа переселиться на парковку.",0.0
Тогда зачем нужна остальная часть?,0.0
"Вы поймете, когда осознаете, что термитник — это на самом деле не небоскреб, а охлаждающая башня, как у ТЭЦ.",0.0
"Днем нагретый воздух поднимается вверх, вытягивая более прохладный из нижних помещений.",1.0
В то время как термиты с королевой и личинками прохлаждаются в главной камере.,1.0
А ночью процесс поворачивается вспять.,1.0
"Теплый воздух снизу выталкивает прохладный наружу, и термиты не замерзают.",1.0
То есть земля под термитником работает как огромный пауэрбэнк.,1.0
"Днем она запасает тепло на ночь, а ночью — холод на день.",1.0
И все это построено без планов и чертежей.,1.0
"Просто тысячи таракашек, следуя зову Роя,",1.0
"выполняют простые инструкции, и все.",0.0
Какие именно?,0.0
"Иногда, чтобы понять, как что-то устроено, нужно сломать это.",0.0
"И вы все правильно поняли, ученые сломали термитник.",0.0
Спустя пару минут на место происшествия сбегается толпа насекомых.,0.0
Первый термит кладет маленький комок земли в основание разрушенной стены и помечает феромоном.,0.0
"А остальные термиты начинают класть свои комочки рядом с ним, ориентируясь как раз по этому феромону.",0.0
"Только так, чтобы случайно не замуровать самого себя.",0.0
"Потом, когда гора земли навалена, термиты роют в ней норы.",0.0
Они делают это буквально наобум.,0.0
"Но чтобы все работало, у них тоже есть два правила.",0.0
Первое.,0.0
"Когда идешь по туннелю, помечай его феромоном.",0.0
"А если в туннеле жарко или, наоборот, холодно, не ходи и не помечай.",0.0
Так у самых удачных туннелей феромонный след будет самым сильным.,0.0
И второе правило.,0.0
"Если по туннелю вообще никто не ходит и феромоном там не пахнет, значит он плохой, ненадежный.",0.0
Его надо застроить и прорыть новый.,0.0
"То есть, понимаете, да, ходы роются наугад, но остаются только те, которые всем нравятся.",0.0
"Так, методом проб и ошибок, строится идеальный термитник.",0.0
"Но каждый раз, когда Коршун, например, отклевал верхушку термитника, ученые его отпинали или вода затопила термитник, он восстанавливается.",0.0
Но каждый раз он делает это чуть выше.,0.0
"То есть, он чуть нарастает и становится все выше и выше.",1.0
"Именно поэтому термитникам, которые постоянно перестраиваются, то есть большим, не год и не два, а несколько сотен лет.",1.0
"Может, поэтому Саграда Фамилия в Барселоне, который по форме напоминает термитник, не могут построить уже почти 150 лет.",1.0
"А как думаете, сколько этим рекордсменам из ЮАР лет?",1.0
"Да, этим плоским холмам.",1.0
Тысяча лет?,1.0
Две тысячи лет?,1.0
"Берите больше, 34 тысячи лет.",1.0
"То есть, они старше всей человеческой цивилизации.",1.0
"За это время у нас зародилась культура, наскальная живопись и архитектура.",1.0
А термиты все 34 тысячи лет тусуются в этих холмиках и не собираются никуда уходить.,1.0
"Потому что что правильно работает, не трожь.",1.0
"Хотя и в нашем человеческом мире, кстати, есть такая конструкция.",1.0
"Вот, и работает она по тем же принципам, что и термитник.",1.0
"Это ветроуловитель или бадгир, который изобрели в Древней Персии еще несколько тысяч лет назад.",1.0
Эта вертикальная башня буквально ловит ветер и помогает ему вытягивать холодный ночной воздух из подвала или резервуара с водой.,1.0
В это время горячий воздух выходит из верхушки бадгира прямо как в термитнике.,1.0
"В результате в доме на 10 градусов холоднее, плохо, что не хорошо, Древние Персии пришли к этому методом персидского тыка.",0.0
Но 30 лет назад мы уж прям откровенно спилили у термитов их идеи.,0.0
"Но, но докинули туда немного современных технологий.",0.0
А конкретно два вентилятора.,0.0
В 1991 году архитектор Майк Пирс построил бизнес-центр в самой крупной Зимвабве.,0.0
"Майк спроектировал офис из бетонных блоков, которые ночью запасали холод, а днем тепло.",0.0
"Чтобы это происходило быстрее, в основании здания он поставил пару слабых вентиляторов, которые и засасывали воздух внутрь.",0.0
"И окна Майк тоже сделал, как у термитов, маленькими, чтобы не терять драгоценный ветерок.",0.0
Но можем ли мы пойти еще дальше?,0.0
"Да, да, можем, конечно.",0.0
"Может быть, вместо того, чтобы строить как термиты, мы заставим самих термитов для нас строить, а?",0.0
Как вам?,0.0
Американский стартап Thermes так и сделал.,0.0
"Да, роботы не очень похожи на насекомых, но по смыслу один в один.",0.0
"Вы, как термит-инициатор, кладете первый блок, а все, что остается роботом, это класть свои блоки рядом.",0.0
"Вот и вся инструкция, но ее хватает, чтобы строить маленькие небоскребы.",0.0
"Вы скажете, даже проще построить самому.",0.0
"Если высоко, ну возьми кран там или там, не знаю, бетонный насос.",0.0
"Все так, да.",0.0
Ну попробуйте доставить бетонный насос на Марс.,0.0
А вот роботов запросто.,0.0
"Из местного песка роботы сделают себе блоки и, как на 3D принтере, напечатают здания по слоям.",0.0
"А если нужно, они сольются в одного большого робота, чтобы, например, таскать большие блоки или из песка делать подобие бетона и заливать им фундамент.",0.0
Так что получается?,0.0
Термитный интеллект самый совершенный.,0.0
"Ну, как сказать, термиты отличные строители, но большую часть времени они просто валяются под кондиционером, который сами же и построили.",0.0
"В этом смысле они напоминают Капибар или как тайцы, спящие на снегу.",0.0
"Но что если строить роевой интеллект из существ,",0.0
"которые не просто выполняют команды, но еще и активно адаптируются к миру и обучают друг друга?",1.0
"То есть раньше мы строили интеллект буквально из тупиц, а сейчас будем из умников.",1.0
А?,1.0
Как вам идея?,1.0
"Такой роевой интеллект уже есть, о нем знал еще пещерный человек.",1.0
"И не просто знал, но еще и активно его эксплуатировал.",1.0
Этому наскальному рисунку около 8000 лет.,1.0
Здесь Homo sapiens корзинкой карабкается на дерево в попытках добыть некий сладкий сироп.,1.0
"А вокруг него летает роль существ, которые этот сироп произвели.",1.0
"И, конечно же, вы догадались, сироп это мед, а роевой интеллект это пчелы.",1.0
Одно насекомое за всю жизнь произведет не больше вот такой ложки меда.,1.0
"Ну а чтобы получить вот такую банку, тысячи пчел пролетели больше 50 тысяч километров, собрали нектар с миллиона цветов, переварили внутри своего зоба и отрыгнули в соток.",1.0
Вот насколько это замороченный процесс ради вот такой баночки.,1.0
"Пчелы такие же социальные, как муравьи или термиты, но у них есть развитое зрение и крылья для полета.",0.0
"Так что живут они не в плоском мире Пэкмэна, а в 3D. Вдобавок пчелы видят в ультрафиолете, поэтому цветки для них буквально это посадочные полосы, которые так и кричат.",0.0
"Садись сюда, братец, садись.",0.0
Мы решили это проверить.,0.0
"Взяли несколько букетов, ультрафиолетовый фонарь и камеру, которую видят в ультрафиолете.",0.0
"Итак, давайте посмотрим, как эти букеты видят пчелы.",0.0
В подсолнухах они заметят яркую свечащуюся пыльцу.,0.0
"На ирисах увидят полосатый рисунок на лепестках, но лучше всего их зрение передает профессиональная съемка.",0.0
"Видно, что некоторые цветы для пчел это целые светящиеся галактики.",0.0
"Запомните этот факт, а лучше заскриньте его, чтобы пересказать его близким и показать, когда будете дарить цветы.",0.0
Но а с доставкой заказать их можно на Флауау.,0.0
"Так же, как и дикие пчелы облетают цветы по всему миру, кроме Крайнего Севера и Сахары, так и Флауау доставляют цветы и подарки во всех климатических зонах.",0.0
"Доставит букет знакомому криптоинвестору в Дубай, вашей девушке в Тбилиси, подруге в солнечную Барселону, ну и, конечно, любимой бабушке в Ереван.",0.0
"А если у кого-то аллергия на цветы, закажите на Флауау подарки.",0.0
"Так Катя недавно отправила воздушные шары своей подруге в Лондон, потому что у нее аллергия, и они дошли.",0.0
"Так что нет смысла физически лететь к дорогому человеку, чтобы вручить ему подарки и цветы.",0.0
